,Unnamed: 0,Name,所属日期,股票名称,股票代码,50周价格水平,当日涨幅,当月涨幅,调入状态,推荐家数,所属行业,市值,推荐机构,推荐逻辑,流通市值(亿元),date,ticker_1,新进
146,146,2020年12月金股.xlsx,2020/12/1,"宏发股份
SH600885",SH600885,0.6377,0.0316,0.1322,近12个月首推,1,电气设备,中市值,海通证券,,,2020-12-01,A600885,1
148,148,2020年12月金股.xlsx,2020/12/1,"华宏科技
SZ002645",SZ002645,0.6831,-0.0413,0.0111,近12个月首推,1,机械设备,小市值,海通证券,,,2020-12-01,A002645,1
149,149,2020年12月金股.xlsx,2020/12/1,"恒逸石化
SZ000703",SZ000703,0.3213,-0.0047,0.0079,近3个月首推,1,化工,中市值,海通证券,,,2020-12-01,A000703,1
152,152,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,海通证券,,,2020-12-01,A000063,1
153,153,2020年12月金股.xlsx,2020/12/1,"万达电影
SZ002739",SZ002739,0.2052,-0.0047,-0.0549,近3个月首推,4,传媒,中市值,海通证券,,,2020-12-01,A002739,1
156,156,2020年12月金股.xlsx,2020/12/1,"开润股份
SZ300577",SZ300577,0.0974,-0.0218,-0.1535,近2个月首推,2,纺织服装,小市值,海通证券,,,2020-12-01,A300577,1
160,160,2020年12月金股.xlsx,2020/12/1,"华 润 微
科688396",科688396,0.5632,-0.028,0.0161,近2个月首推,3,电子,小市值,光大证券,,,2020-12-01,A688396,1
163,163,2020年12月金股.xlsx,2020/12/1,"方大特钢
SH600507",SH600507,0.855,0.0011,-0.0545,近4个月首推,1,钢铁,小市值,光大证券,,,2020-12-01,A600507,1
168,168,2020年12月金股.xlsx,2020/12/1,"新 经 典
SH603096",SH603096,0.1228,-0.0041,0.1987,近12个月首推,1,传媒,小市值,国海证券,,,2020-12-01,A603096,1
170,170,2020年12月金股.xlsx,2020/12/1,"中微公司
科688012",科688012,0.1511,-0.0239,0.0619,近4个月首推,1,机械设备,小市值,国海证券,,,2020-12-01,A688012,1
171,171,2020年12月金股.xlsx,2020/12/1,"杭叉集团
SH603298",SH603298,0.6359,-0.0085,0.0505,近2个月首推,1,机械设备,小市值,国海证券,,,2020-12-01,A603298,1
174,174,2020年12月金股.xlsx,2020/12/1,"金丹科技
SZ300829",SZ300829,0.4577,0.1131,-0.0445,近4个月首推,2,农林牧渔,小市值,国海证券,,,2020-12-01,A300829,1
175,175,2020年12月金股.xlsx,2020/12/1,"捷捷微电
SZ300623",SZ300623,0.5123,-0.0118,-0.18,近2个月首推,1,电子,小市值,国海证券,,,2020-12-01,A300623,1
177,177,2020年12月金股.xlsx,2020/12/1,"中联重科
SZ000157",SZ000157,0.4843,-0.0162,0.1565,近2个月首推,3,机械设备,中市值,民生证券,,,2020-12-01,A000157,1
178,178,2020年12月金股.xlsx,2020/12/1,"完美世界
SZ002624",SZ002624,0.108,-0.032,0.0946,近2个月首推,2,传媒,中市值,民生证券,,,2020-12-01,A002624,1
182,182,2020年12月金股.xlsx,2020/12/1,"新 易 盛
SZ300502",SZ300502,0.253,0.0111,-0.0184,近2个月首推,1,通信,小市值,民生证券,,,2020-12-01,A300502,1
189,189,2020年12月金股.xlsx,2020/12/1,"中信特钢
SZ000708",SZ000708,0.4381,-0.0196,0.0386,近12个月首推,1,钢铁,中市值,东兴证券,,,2020-12-01,A000708,1
199,199,2020年12月金股.xlsx,2020/12/1,"道通科技
科688208",科688208,0.6235,0.0297,-0.0071,近3个月首推,1,计算机,小市值,国信证券,,,2020-12-01,A688208,1
200,200,2020年12月金股.xlsx,2020/12/1,"宇通客车
SH600066",SH600066,0.2644,-0.0162,-0.027,近2个月首推,1,汽车,中市值,国信证券,,,2020-12-01,A600066,1
203,203,2020年12月金股.xlsx,2020/12/1,"首旅酒店
SH600258",SH600258,0.8899,0.0374,-0.0881,近12个月首推,2,休闲服务,中市值,国信证券,,,2020-12-01,A600258,1
204,204,2020年12月金股.xlsx,2020/12/1,"恩捷股份
SZ002812",SZ002812,0.9666,0.1,0.4689,近2个月首推,1,化工,大市值,中泰证券,,,2020-12-01,A002812,1
207,207,2020年12月金股.xlsx,2020/12/1,"生益科技
SH600183",SH600183,0.1411,-0.0126,0.009,近2个月首推,1,电子,中市值,中泰证券,,,2020-12-01,A600183,1
210,210,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,中泰证券,,,2020-12-01,A000063,1
211,211,2020年12月金股.xlsx,2020/12/1,"南京银行
SH601009",SH601009,0.9281,-0.0115,-0.0626,近12个月首推,1,银行,中市值,中泰证券,,,2020-12-01,A601009,1
212,212,2020年12月金股.xlsx,2020/12/1,"海象新材
SZ003011",SZ003011,0.0695,0.0038,-0.0657,近12个月首推,1,轻工制造,小市值,中泰证券,,,2020-12-01,A003011,1
213,213,2020年12月金股.xlsx,2020/12/1,"劲嘉股份
SZ002191",SZ002191,0.4323,-0.03,-0.0852,近12个月首推,1,轻工制造,小市值,中泰证券,,,2020-12-01,A002191,1
216,216,2020年12月金股.xlsx,2020/12/1,"赛轮轮胎
SH601058",SH601058,0.9332,-0.0248,0.0541,近4个月首推,1,化工,中市值,信达证券,,,2020-12-01,A601058,1
220,220,2020年12月金股.xlsx,2020/12/1,"永兴材料
SZ002756",SZ002756,0.8229,0.0631,0.8664,近3个月首推,3,钢铁,中市值,长江证券,,,2020-12-01,A002756,1
221,221,2020年12月金股.xlsx,2020/12/1,"新泉股份
SH603179",SH603179,0.4405,0.0066,0.0971,近12个月首推,1,汽车,小市值,长江证券,,,2020-12-01,A603179,1
222,222,2020年12月金股.xlsx,2020/12/1,"三安光电
SH600703",SH600703,0.3973,0.0081,0.006,近12个月首推,2,电子,大市值,长江证券,,,2020-12-01,A600703,1
223,223,2020年12月金股.xlsx,2020/12/1,"周 大 生
SZ002867",SZ002867,0.361,-0.0154,0.0023,近3个月首推,1,轻工制造,中市值,长江证券,,,2020-12-01,A002867,1
227,227,2020年12月金股.xlsx,2020/12/1,"杰瑞股份
SZ002353",SZ002353,0.4455,0.0117,-0.0538,近12个月首推,3,机械设备,中市值,长江证券,,,2020-12-01,A002353,1
230,230,2020年12月金股.xlsx,2020/12/1,"中航沈飞
SH600760",SH600760,0.6384,0.0042,0.2873,近12个月首推,1,国防军工,大市值,天风证券,,,2020-12-01,A600760,1
234,234,2020年12月金股.xlsx,2020/12/1,"深 信 服
SZ300454",SZ300454,0.5998,-0.025,0.2297,近2个月首推,1,计算机,中市值,天风证券,,,2020-12-01,A300454,1
242,242,2020年12月金股.xlsx,2020/12/1,"华宝国际
HK00336",HK00336,0.6713,-0.0779,0.0286,近4个月首推,1,港股,小市值,天风证券,,,2020-12-01,AK00336,1
248,248,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,天风证券,,,2020-12-01,A000063,1
249,249,2020年12月金股.xlsx,2020/12/1,"金丹科技
SZ300829",SZ300829,0.4577,0.1131,-0.0445,近4个月首推,2,农林牧渔,小市值,天风证券,,,2020-12-01,A300829,1
251,251,2020年12月金股.xlsx,2020/12/1,"杰瑞股份
SZ002353",SZ002353,0.4455,0.0117,-0.0538,近12个月首推,3,机械设备,中市值,天风证券,,,2020-12-01,A002353,1
252,252,2020年12月金股.xlsx,2020/12/1,"万达电影
SZ002739",SZ002739,0.2052,-0.0047,-0.0549,近3个月首推,4,传媒,中市值,天风证券,,,2020-12-01,A002739,1
253,253,2020年12月金股.xlsx,2020/12/1,"奥福环保
科688021",科688021,0.1727,-0.0171,-0.0605,近3个月首推,2,化工,小市值,天风证券,,,2020-12-01,A688021,1
254,254,2020年12月金股.xlsx,2020/12/1,"工商银行
SH601398",SH601398,0.4021,0.0019,-0.062,近12个月首推,2,银行,大市值,天风证券,,,2020-12-01,A601398,1
258,258,2020年12月金股.xlsx,2020/12/1,"华帝股份
SZ002035",SZ002035,0.0495,-0.0121,-0.084,近3个月首推,1,家用电器,小市值,天风证券,,,2020-12-01,A002035,1
260,260,2020年12月金股.xlsx,2020/12/1,"岱美股份
SH603730",SH603730,0.3222,0.0398,-0.0908,近2个月首推,1,汽车,小市值,天风证券,,,2020-12-01,A603730,1
263,263,2020年12月金股.xlsx,2020/12/1,"开润股份
SZ300577",SZ300577,0.0974,-0.0218,-0.1535,近2个月首推,2,纺织服装,小市值,天风证券,,,2020-12-01,A300577,1
265,265,2020年12月金股.xlsx,2020/12/1,"北控城市资源
HK03718",HK03718,0.0769,0.0336,-0.188,近3个月首推,1,港股,小市值,天风证券,,,2020-12-01,AK03718,1
266,266,2020年12月金股.xlsx,2020/12/1,"云铝股份
SZ000807",SZ000807,0.8896,0.0587,-0.2032,近3个月首推,1,有色金属,中市值,天风证券,,,2020-12-01,A000807,1
272,272,2020年12月金股.xlsx,2020/12/1,"金风科技
SZ002202",SZ002202,0.2884,-0.0218,0.1391,近4个月首推,1,电气设备,中市值,平安证券,,,2020-12-01,A002202,1
277,277,2020年12月金股.xlsx,2020/12/1,"妙可蓝多
SH600882",SH600882,0.6691,-0.0946,0.5296,近12个月首推,1,食品饮料,中市值,华西证券,,,2020-12-01,A600882,1
280,280,2020年12月金股.xlsx,2020/12/1,"大立科技
SZ002214",SZ002214,0.1471,-0.0044,0.116,近4个月首推,1,电子,小市值,华西证券,,,2020-12-01,A002214,1
281,281,2020年12月金股.xlsx,2020/12/1,"中粮糖业
SH600737",SH600737,0.5565,0.001,0.1025,近12个月首推,2,农林牧渔,中市值,华西证券,,,2020-12-01,A600737,1
283,283,2020年12月金股.xlsx,2020/12/1,"阳谷华泰
SZ300121",SZ300121,0.6462,-0.0177,-0.0116,近5个月首推,1,化工,小市值,华西证券,,,2020-12-01,A300121,1
284,284,2020年12月金股.xlsx,2020/12/1,"赛腾股份
SH603283",SH603283,0.0423,-0.0073,-0.0614,近12个月首推,1,机械设备,小市值,华西证券,,,2020-12-01,A603283,1
285,285,2020年12月金股.xlsx,2020/12/1,"成都银行
SH601838",SH601838,0.8885,-0.0038,-0.0624,近3个月首推,1,银行,中市值,华西证券,,,2020-12-01,A601838,1
297,297,2020年12月金股.xlsx,2020/12/1,"永兴材料
SZ002756",SZ002756,0.8229,0.0631,0.8664,近3个月首推,3,钢铁,中市值,国金证券,,,2020-12-01,A002756,1
304,304,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,国金证券,,,2020-12-01,A000063,1
306,306,2020年12月金股.xlsx,2020/12/1,"保利地产
SH600048",SH600048,0.097,-0.0131,-0.0813,近2个月首推,3,房地产,大市值,国金证券,,,2020-12-01,A600048,1
307,307,2020年12月金股.xlsx,2020/12/1,"迈为股份
SZ300751",SZ300751,0.8874,0.0795,0.3615,近2个月首推,2,机械设备,小市值,中银证券,,,2020-12-01,A300751,1
309,309,2020年12月金股.xlsx,2020/12/1,"银轮股份
SZ002126",SZ002126,0.1539,0.0097,0.1891,近2个月首推,1,汽车,小市值,中银证券,,,2020-12-01,A002126,1
310,310,2020年12月金股.xlsx,2020/12/1,"张 裕Ａ
SZ000869",SZ000869,0.4493,-0.0068,0.1292,近12个月首推,1,食品饮料,小市值,中银证券,,,2020-12-01,A000869,1
316,316,2020年12月金股.xlsx,2020/12/1,"美亚柏科
SZ300188",SZ300188,0.1306,0.0029,-0.0995,近2个月首推,1,计算机,小市值,中银证券,,,2020-12-01,A300188,1
321,321,2020年12月金股.xlsx,2020/12/1,"三安光电
SH600703",SH600703,0.3973,0.0081,0.006,近12个月首推,2,电子,大市值,东方证券,,,2020-12-01,A600703,1
331,331,2020年12月金股.xlsx,2020/12/1,"中油工程
SH600339",SH600339,0.4283,-0.007,-0.0032,近12个月首推,1,采掘,小市值,川财证券,,,2020-12-01,A600339,1
333,333,2020年12月金股.xlsx,2020/12/1,"中国石化
SH600028",SH600028,0.6405,0.0,-0.0382,近12个月首推,1,化工,大市值,川财证券,,,2020-12-01,A600028,1
334,334,2020年12月金股.xlsx,2020/12/1,"奥福环保
科688021",科688021,0.1727,-0.0171,-0.0605,近3个月首推,2,化工,小市值,川财证券,,,2020-12-01,A688021,1
335,335,2020年12月金股.xlsx,2020/12/1,"华菱钢铁
SZ000932",SZ000932,0.607,-0.0144,-0.1065,近12个月首推,1,钢铁,中市值,川财证券,,,2020-12-01,A000932,1
337,337,2020年12月金股.xlsx,2020/12/1,"甘源食品
SZ002991",SZ002991,0.2401,-0.0138,-0.1472,近2个月首推,1,食品饮料,小市值,川财证券,,,2020-12-01,A002991,1
347,347,2020年12月金股.xlsx,2020/12/1,"联创电子
SZ002036",SZ002036,0.4856,0.0,-0.1079,近12个月首推,1,电子,小市值,新时代证券,,,2020-12-01,A002036,1
348,348,2020年12月金股.xlsx,2020/12/1,"天箭科技
SZ002977",SZ002977,0.0818,-0.0132,0.1601,近12个月首推,1,国防军工,小市值,粤开证券,,,2020-12-01,A002977,1
350,350,2020年12月金股.xlsx,2020/12/1,"国联证券
SH601456",SH601456,0.5777,0.0064,0.1168,近12个月首推,1,非银金融,小市值,粤开证券,,,2020-12-01,A601456,1
351,351,2020年12月金股.xlsx,2020/12/1,"天坛生物
SH600161",SH600161,0.1561,-0.0396,0.0491,近12个月首推,2,医药生物,中市值,粤开证券,,,2020-12-01,A600161,1
353,353,2020年12月金股.xlsx,2020/12/1,"北京君正
SZ300223",SZ300223,0.439,0.0489,-0.038,近12个月首推,1,电子,小市值,粤开证券,,,2020-12-01,A300223,1
355,355,2020年12月金股.xlsx,2020/12/1,"中国神华
SH601088",SH601088,0.8262,-0.0025,-0.0821,近2个月首推,3,采掘,大市值,粤开证券,,,2020-12-01,A601088,1
357,357,2020年12月金股.xlsx,2020/12/1,"许继电气
SZ000400",SZ000400,0.0957,-0.0059,-0.1372,近12个月首推,1,电气设备,小市值,粤开证券,,,2020-12-01,A000400,1
361,361,2020年12月金股.xlsx,2020/12/1,"万盛股份
SH603010",SH603010,0.8337,0.0042,0.0159,近12个月首推,1,化工,小市值,东北证券,,,2020-12-01,A603010,1
362,362,2020年12月金股.xlsx,2020/12/1,"上海瀚讯
SZ300762",SZ300762,0.3849,-0.01,-0.0219,近12个月首推,1,国防军工,小市值,东北证券,,,2020-12-01,A300762,1
364,364,2020年12月金股.xlsx,2020/12/1,"晨鸣纸业
SZ000488",SZ000488,0.6692,-0.0182,-0.0641,近12个月首推,1,轻工制造,小市值,东北证券,,,2020-12-01,A000488,1
365,365,2020年12月金股.xlsx,2020/12/1,"光 韵 达
SZ300227",SZ300227,0.0273,-0.0198,-0.0722,近12个月首推,1,电子,小市值,东北证券,,,2020-12-01,A300227,1
366,366,2020年12月金股.xlsx,2020/12/1,"当代文体
SH600136",SH600136,0.5453,-0.0013,-0.0794,近12个月首推,1,传媒,小市值,东北证券,,,2020-12-01,A600136,1
367,367,2020年12月金股.xlsx,2020/12/1,"首旅酒店
SH600258",SH600258,0.8899,0.0374,-0.0881,近12个月首推,2,休闲服务,中市值,东北证券,,,2020-12-01,A600258,1
375,375,2020年12月金股.xlsx,2020/12/1,"万达电影
SZ002739",SZ002739,0.2052,-0.0047,-0.0549,近3个月首推,4,传媒,中市值,银河证券,,,2020-12-01,A002739,1
378,378,2020年12月金股.xlsx,2020/12/1,"广电计量
SZ002967",SZ002967,0.7076,-0.0168,0.3499,近12个月首推,1,综合,小市值,国盛证券,,,2020-12-01,A002967,1
379,379,2020年12月金股.xlsx,2020/12/1,"捷佳伟创
SZ300724",SZ300724,0.3482,0.0724,0.3452,近12个月首推,1,机械设备,小市值,国盛证券,,,2020-12-01,A300724,1
382,382,2020年12月金股.xlsx,2020/12/1,"天 融 信
SZ002212",SZ002212,0.1694,0.0417,0.0391,近12个月首推,1,计算机,中市值,国盛证券,,,2020-12-01,A002212,1
385,385,2020年12月金股.xlsx,2020/12/1,"爱 柯 迪
SH600933",SH600933,0.1643,0.0068,-0.0494,近12个月首推,2,汽车,小市值,国盛证券,,,2020-12-01,A600933,1
395,395,2020年12月金股.xlsx,2020/12/1,"东方盛虹
SZ000301",SZ000301,0.9194,-0.0496,-0.0548,近12个月首推,1,化工,中市值,安信证券,,,2020-12-01,A000301,1
396,396,2020年12月金股.xlsx,2020/12/1,"工商银行
SH601398",SH601398,0.4021,0.0019,-0.062,近12个月首推,2,银行,大市值,安信证券,,,2020-12-01,A601398,1
400,400,2020年12月金股.xlsx,2020/12/1,"洛阳钼业
SH603993",SH603993,0.4726,0.0232,0.3617,近12个月首推,1,有色金属,大市值,西部证券,,,2020-12-01,A603993,1
403,403,2020年12月金股.xlsx,2020/12/1,"华夏航空
SZ002928",SZ002928,0.6843,-0.0324,-0.0094,近12个月首推,2,交通运输,小市值,西部证券,,,2020-12-01,A002928,1
404,404,2020年12月金股.xlsx,2020/12/1,"万达电影
SZ002739",SZ002739,0.2052,-0.0047,-0.0549,近3个月首推,4,传媒,中市值,西部证券,,,2020-12-01,A002739,1
407,407,2020年12月金股.xlsx,2020/12/1,"世运电路
SH603920",SH603920,0.0614,-0.0092,-0.1504,近12个月首推,1,电子,小市值,西部证券,,,2020-12-01,A603920,1
409,409,2020年12月金股.xlsx,2020/12/1,"国电南瑞
SH600406",SH600406,0.7096,-0.0079,0.1263,近3个月首推,1,电气设备,大市值,东莞证券,,,2020-12-01,A600406,1
