,Unnamed: 0,Name,所属日期,股票名称,股票代码,50周价格水平,当日涨幅,当月涨幅,调入状态,推荐家数,所属行业,市值,推荐机构,推荐逻辑,流通市值(亿元),date,ticker_1,新进
41,41,2020年12月金股.xlsx,2020/12/1,"邮储银行
SH601658",SH601658,0.5528,0.0431,-0.086,连续2个月推荐,3,银行,中市值,长城证券,,,2020-12-01,A601658,0
45,45,2020年12月金股.xlsx,2020/12/1,"东方财富
SZ300059",SZ300059,0.8594,-0.0035,0.1273,连续12个月推荐,4,非银金融,大市值,中原证券,,,2020-12-01,A300059,0
52,52,2020年12月金股.xlsx,2020/12/1,"东方日升
SZ300118",SZ300118,0.068,0.0196,0.6569,连续3个月推荐,1,电气设备,小市值,华创证券,,,2020-12-01,A300118,0
54,54,2020年12月金股.xlsx,2020/12/1,"贵州茅台
SH600519",SH600519,0.6581,-0.0067,0.1658,连续10个月推荐,8,食品饮料,大市值,华创证券,,,2020-12-01,A600519,0
55,55,2020年12月金股.xlsx,2020/12/1,"玲珑轮胎
SH601966",SH601966,0.7698,-0.0351,0.1349,连续3个月推荐,2,化工,中市值,华创证券,,,2020-12-01,A601966,0
56,56,2020年12月金股.xlsx,2020/12/1,"海尔智家
SH600690",SH600690,0.7333,-0.016,0.0831,连续2个月推荐,4,家用电器,大市值,华创证券,,,2020-12-01,A600690,0
57,57,2020年12月金股.xlsx,2020/12/1,"移远通信
SH603236",SH603236,0.1568,0.0178,0.0334,连续8个月推荐,2,通信,小市值,华创证券,,,2020-12-01,A603236,0
59,59,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,华创证券,,,2020-12-01,A601899,0
60,60,2020年12月金股.xlsx,2020/12/1,"中国平安
SH601318",SH601318,0.1705,0.001,-0.0339,连续5个月推荐,14,非银金融,大市值,华创证券,,,2020-12-01,A601318,0
61,61,2020年12月金股.xlsx,2020/12/1,"上汽集团
SH600104",SH600104,0.2924,0.0039,-0.0781,连续3个月推荐,2,汽车,大市值,华创证券,,,2020-12-01,A600104,0
62,62,2020年12月金股.xlsx,2020/12/1,"中国中免
SH601888",SH601888,0.7615,-0.0007,0.462,连续8个月推荐,4,休闲服务,大市值,中信建投,,,2020-12-01,A601888,0
63,63,2020年12月金股.xlsx,2020/12/1,"抚顺特钢
SH600399",SH600399,0.8123,-0.0213,0.3938,连续3个月推荐,1,钢铁,中市值,中信建投,,,2020-12-01,A600399,0
65,65,2020年12月金股.xlsx,2020/12/1,"湘电股份
SH600416",SH600416,0.242,-0.0046,0.3162,连续4个月推荐,1,电气设备,小市值,中信建投,,,2020-12-01,A600416,0
66,66,2020年12月金股.xlsx,2020/12/1,"爱 美 客
SZ300896",SZ300896,0.8581,-0.0144,0.2904,连续2个月推荐,2,医药生物,小市值,中信建投,,,2020-12-01,A300896,0
67,67,2020年12月金股.xlsx,2020/12/1,"中远海控
SH601919",SH601919,0.9392,0.0339,0.2308,连续2个月推荐,1,交通运输,大市值,中信建投,,,2020-12-01,A601919,0
69,69,2020年12月金股.xlsx,2020/12/1,"五 粮 液
SZ000858",SZ000858,0.7835,-0.004,0.149,连续9个月推荐,3,食品饮料,大市值,中信建投,,,2020-12-01,A000858,0
70,70,2020年12月金股.xlsx,2020/12/1,"三一重工
SH600031",SH600031,0.3788,-0.0171,0.139,连续10个月推荐,7,机械设备,大市值,中信建投,,,2020-12-01,A600031,0
71,71,2020年12月金股.xlsx,2020/12/1,"扬农化工
SH600486",SH600486,0.3383,-0.0286,0.1379,连续4个月推荐,3,化工,中市值,中信建投,,,2020-12-01,A600486,0
72,72,2020年12月金股.xlsx,2020/12/1,"德方纳米
SZ300769",SZ300769,0.902,0.025,0.1297,连续2个月推荐,2,化工,小市值,中信建投,,,2020-12-01,A300769,0
75,75,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,中信建投,,,2020-12-01,A601899,0
76,76,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,中信建投,,,2020-12-01,A601601,0
77,77,2020年12月金股.xlsx,2020/12/1,"壹网壹创
SZ300792",SZ300792,0.0914,-0.0223,-0.0228,连续2个月推荐,1,传媒,小市值,中信建投,,,2020-12-01,A300792,0
78,78,2020年12月金股.xlsx,2020/12/1,"中国平安
SH601318",SH601318,0.1705,0.001,-0.0339,连续5个月推荐,14,非银金融,大市值,中信建投,,,2020-12-01,A601318,0
80,80,2020年12月金股.xlsx,2020/12/1,"世 联 行
SZ002285",SZ002285,0.8093,0.0312,-0.0717,连续2个月推荐,1,房地产,小市值,中信建投,,,2020-12-01,A002285,0
83,83,2020年12月金股.xlsx,2020/12/1,"邮储银行
SH601658",SH601658,0.5528,0.0431,-0.086,连续2个月推荐,3,银行,中市值,中信建投,,,2020-12-01,A601658,0
84,84,2020年12月金股.xlsx,2020/12/1,"鹏鼎控股
SZ002938",SZ002938,0.0921,-0.0192,-0.1075,连续2个月推荐,3,电子,小市值,中信建投,,,2020-12-01,A002938,0
86,86,2020年12月金股.xlsx,2020/12/1,"盛新锂能
SZ002240",SZ002240,0.8866,0.0477,0.4591,连续3个月推荐,1,轻工制造,中市值,招商证券,,,2020-12-01,A002240,0
88,88,2020年12月金股.xlsx,2020/12/1,"扬农化工
SH600486",SH600486,0.3383,-0.0286,0.1379,连续4个月推荐,3,化工,中市值,招商证券,,,2020-12-01,A600486,0
90,90,2020年12月金股.xlsx,2020/12/1,"华鲁恒升
SH600426",SH600426,0.5641,-0.0217,0.0627,连续4个月推荐,3,化工,中市值,招商证券,,,2020-12-01,A600426,0
91,91,2020年12月金股.xlsx,2020/12/1,"海信家电
SZ000921",SZ000921,0.5516,-0.0356,-0.0361,连续2个月推荐,1,家用电器,小市值,招商证券,,,2020-12-01,A000921,0
94,94,2020年12月金股.xlsx,2020/12/1,"天孚通信
SZ300394",SZ300394,0.2523,-0.0006,-0.0579,连续2个月推荐,1,通信,小市值,招商证券,,,2020-12-01,A300394,0
96,96,2020年12月金股.xlsx,2020/12/1,"上机数控
SH603185",SH603185,0.6892,-0.0141,0.5967,连续3个月推荐,1,机械设备,小市值,浙商证券,,,2020-12-01,A603185,0
97,97,2020年12月金股.xlsx,2020/12/1,"长城汽车
SH601633",SH601633,0.6679,0.011,0.3557,连续10个月推荐,3,汽车,大市值,浙商证券,,,2020-12-01,A601633,0
98,98,2020年12月金股.xlsx,2020/12/1,"泸州老窖
SZ000568",SZ000568,0.7759,-0.0047,0.2336,连续12个月推荐,6,食品饮料,大市值,浙商证券,,,2020-12-01,A000568,0
99,99,2020年12月金股.xlsx,2020/12/1,"药石科技
SZ300725",SZ300725,0.7312,-0.0262,0.2302,连续2个月推荐,2,医药生物,中市值,浙商证券,,,2020-12-01,A300725,0
100,100,2020年12月金股.xlsx,2020/12/1,"内蒙一机
SH600967",SH600967,0.2879,-0.0075,0.1992,连续2个月推荐,1,国防军工,小市值,浙商证券,,,2020-12-01,A600967,0
101,101,2020年12月金股.xlsx,2020/12/1,"华鲁恒升
SH600426",SH600426,0.5641,-0.0217,0.0627,连续4个月推荐,3,化工,中市值,浙商证券,,,2020-12-01,A600426,0
102,102,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,浙商证券,,,2020-12-01,A601166,0
103,103,2020年12月金股.xlsx,2020/12/1,"上海机场
SH600009",SH600009,0.1388,-0.0016,-0.0364,连续4个月推荐,1,交通运输,中市值,浙商证券,,,2020-12-01,A600009,0
104,104,2020年12月金股.xlsx,2020/12/1,"鹏鼎控股
SZ002938",SZ002938,0.0921,-0.0192,-0.1075,连续2个月推荐,3,电子,小市值,浙商证券,,,2020-12-01,A002938,0
105,105,2020年12月金股.xlsx,2020/12/1,"山东高速
SH600350",SH600350,0.5714,-0.0031,-0.1405,连续2个月推荐,1,交通运输,中市值,浙商证券,,,2020-12-01,A600350,0
107,107,2020年12月金股.xlsx,2020/12/1,"广信股份
SH603599",SH603599,0.6404,-0.0119,0.0822,连续2个月推荐,1,化工,小市值,国联证券,,,2020-12-01,A603599,0
112,112,2020年12月金股.xlsx,2020/12/1,"精工钢构
SH600496",SH600496,0.1958,-0.0048,-0.145,连续2个月推荐,1,建筑装饰,小市值,国联证券,,,2020-12-01,A600496,0
115,115,2020年12月金股.xlsx,2020/12/1,"东来技术
科688129",科688129,0.0709,-0.0281,-0.256,连续2个月推荐,1,化工,小市值,国联证券,,,2020-12-01,A688129,0
118,118,2020年12月金股.xlsx,2020/12/1,"泸州老窖
SZ000568",SZ000568,0.7759,-0.0047,0.2336,连续12个月推荐,6,食品饮料,大市值,西南证券,,,2020-12-01,A000568,0
119,119,2020年12月金股.xlsx,2020/12/1,"长春高新
SZ000661",SZ000661,0.4016,-0.0396,0.2247,连续2个月推荐,1,医药生物,大市值,西南证券,,,2020-12-01,A000661,0
120,120,2020年12月金股.xlsx,2020/12/1,"美的集团
SZ000333",SZ000333,0.4811,-0.0163,0.1334,连续7个月推荐,2,家用电器,大市值,西南证券,,,2020-12-01,A000333,0
121,121,2020年12月金股.xlsx,2020/12/1,"立讯精密
SZ002475",SZ002475,0.2314,-0.015,0.0857,连续12个月推荐,2,电子,大市值,西南证券,,,2020-12-01,A002475,0
122,122,2020年12月金股.xlsx,2020/12/1,"韦尔股份
SH603501",SH603501,0.7452,-0.0223,0.0727,连续2个月推荐,2,电子,大市值,西南证券,,,2020-12-01,A603501,0
123,123,2020年12月金股.xlsx,2020/12/1,"芒果超媒
SZ300413",SZ300413,0.4935,-0.0291,0.0575,连续5个月推荐,2,传媒,中市值,西南证券,,,2020-12-01,A300413,0
125,125,2020年12月金股.xlsx,2020/12/1,"领益智造
SZ002600",SZ002600,0.1136,-0.0138,-0.1562,连续5个月推荐,4,电子,中市值,西南证券,,,2020-12-01,A002600,0
126,126,2020年12月金股.xlsx,2020/12/1,"鸿远电子
SH603267",SH603267,0.6973,-0.0225,0.3673,连续5个月推荐,1,国防军工,小市值,方正证券,,,2020-12-01,A603267,0
127,127,2020年12月金股.xlsx,2020/12/1,"万华化学
SH600309",SH600309,0.6056,-0.0153,0.1212,连续12个月推荐,2,化工,大市值,方正证券,,,2020-12-01,A600309,0
128,128,2020年12月金股.xlsx,2020/12/1,"分众传媒
SZ002027",SZ002027,0.641,0.0097,0.0175,连续8个月推荐,2,传媒,大市值,方正证券,,,2020-12-01,A002027,0
129,129,2020年12月金股.xlsx,2020/12/1,"TCL 科技
SZ000100",SZ000100,0.5324,-0.0287,0.01,连续8个月推荐,2,电子,大市值,方正证券,,,2020-12-01,A000100,0
130,130,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,方正证券,,,2020-12-01,A601899,0
131,131,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,方正证券,,,2020-12-01,A601601,0
132,132,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,方正证券,,,2020-12-01,A601166,0
134,134,2020年12月金股.xlsx,2020/12/1,"广汽集团
SH601238",SH601238,0.4096,0.0112,-0.0271,连续2个月推荐,4,汽车,中市值,方正证券,,,2020-12-01,A601238,0
135,135,2020年12月金股.xlsx,2020/12/1,"万 科Ａ
SZ000002",SZ000002,0.1827,-0.0077,-0.0651,连续7个月推荐,7,房地产,大市值,方正证券,,,2020-12-01,A000002,0
136,136,2020年12月金股.xlsx,2020/12/1,"华友钴业
SH603799",SH603799,0.7874,0.0815,0.5157,连续2个月推荐,2,有色金属,大市值,华安证券,,,2020-12-01,A603799,0
137,137,2020年12月金股.xlsx,2020/12/1,"国瓷材料
SZ300285",SZ300285,0.7316,-0.0131,0.1909,连续2个月推荐,2,化工,中市值,华安证券,,,2020-12-01,A300285,0
138,138,2020年12月金股.xlsx,2020/12/1,"三一重工
SH600031",SH600031,0.3788,-0.0171,0.139,连续10个月推荐,7,机械设备,大市值,华安证券,,,2020-12-01,A600031,0
139,139,2020年12月金股.xlsx,2020/12/1,"万华化学
SH600309",SH600309,0.6056,-0.0153,0.1212,连续12个月推荐,2,化工,大市值,华安证券,,,2020-12-01,A600309,0
140,140,2020年12月金股.xlsx,2020/12/1,"苏垦农发
SH601952",SH601952,0.2048,-0.0179,0.1132,连续2个月推荐,1,农林牧渔,小市值,华安证券,,,2020-12-01,A601952,0
142,142,2020年12月金股.xlsx,2020/12/1,"科大讯飞
SZ002230",SZ002230,0.9568,0.0141,0.0693,连续2个月推荐,2,计算机,大市值,华安证券,,,2020-12-01,A002230,0
143,143,2020年12月金股.xlsx,2020/12/1,"TCL 科技
SZ000100",SZ000100,0.5324,-0.0287,0.01,连续8个月推荐,2,电子,大市值,华安证券,,,2020-12-01,A000100,0
144,144,2020年12月金股.xlsx,2020/12/1,"海螺水泥
SH600585",SH600585,0.0621,-0.0097,-0.0864,连续13个月推荐,3,建筑材料,大市值,华安证券,,,2020-12-01,A600585,0
145,145,2020年12月金股.xlsx,2020/12/1,"金地集团
SH600383",SH600383,0.0329,-0.0277,-0.1077,连续4个月推荐,2,房地产,中市值,华安证券,,,2020-12-01,A600383,0
147,147,2020年12月金股.xlsx,2020/12/1,"科大讯飞
SZ002230",SZ002230,0.9568,0.0141,0.0693,连续2个月推荐,2,计算机,大市值,海通证券,,,2020-12-01,A002230,0
150,150,2020年12月金股.xlsx,2020/12/1,"杭州银行
SH600926",SH600926,0.8098,-0.0078,-0.0184,连续7个月推荐,1,银行,中市值,海通证券,,,2020-12-01,A600926,0
151,151,2020年12月金股.xlsx,2020/12/1,"中公教育
SZ002607",SZ002607,0.0999,-0.0373,-0.0263,连续5个月推荐,1,传媒,中市值,海通证券,,,2020-12-01,A002607,0
154,154,2020年12月金股.xlsx,2020/12/1,"万 科Ａ
SZ000002",SZ000002,0.1827,-0.0077,-0.0651,连续7个月推荐,7,房地产,大市值,海通证券,,,2020-12-01,A000002,0
155,155,2020年12月金股.xlsx,2020/12/1,"华域汽车
SH600741",SH600741,0.2558,-0.0004,-0.0781,连续4个月推荐,2,汽车,中市值,海通证券,,,2020-12-01,A600741,0
157,157,2020年12月金股.xlsx,2020/12/1,"中国中免
SH601888",SH601888,0.7615,-0.0007,0.462,连续8个月推荐,4,休闲服务,大市值,光大证券,,,2020-12-01,A601888,0
158,158,2020年12月金股.xlsx,2020/12/1,"通威股份
SH600438",SH600438,0.5564,-0.0018,0.2481,连续8个月推荐,1,电气设备,大市值,光大证券,,,2020-12-01,A600438,0
159,159,2020年12月金股.xlsx,2020/12/1,"桐昆股份
SH601233",SH601233,0.4747,-0.0384,0.0446,连续5个月推荐,5,化工,中市值,光大证券,,,2020-12-01,A601233,0
161,161,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,光大证券,,,2020-12-01,A601166,0
162,162,2020年12月金股.xlsx,2020/12/1,"中国平安
SH601318",SH601318,0.1705,0.001,-0.0339,连续5个月推荐,14,非银金融,大市值,光大证券,,,2020-12-01,A601318,0
164,164,2020年12月金股.xlsx,2020/12/1,"中鼎股份
SZ000887",SZ000887,0.534,0.0206,-0.0887,连续5个月推荐,1,汽车,小市值,光大证券,,,2020-12-01,A000887,0
165,165,2020年12月金股.xlsx,2020/12/1,"新日股份
SH603787",SH603787,0.1531,0.0326,-0.1918,连续2个月推荐,1,汽车,小市值,光大证券,,,2020-12-01,A603787,0
166,166,2020年12月金股.xlsx,2020/12/1,"隆基股份
SH601012",SH601012,0.6669,0.0224,0.3421,连续6个月推荐,4,电气设备,大市值,国海证券,,,2020-12-01,A601012,0
167,167,2020年12月金股.xlsx,2020/12/1,"泸州老窖
SZ000568",SZ000568,0.7759,-0.0047,0.2336,连续12个月推荐,6,食品饮料,大市值,国海证券,,,2020-12-01,A000568,0
169,169,2020年12月金股.xlsx,2020/12/1,"中直股份
SH600038",SH600038,0.4129,0.0019,0.1673,连续3个月推荐,1,国防军工,中市值,国海证券,,,2020-12-01,A600038,0
172,172,2020年12月金股.xlsx,2020/12/1,"桐昆股份
SH601233",SH601233,0.4747,-0.0384,0.0446,连续5个月推荐,5,化工,中市值,国海证券,,,2020-12-01,A601233,0
173,173,2020年12月金股.xlsx,2020/12/1,"广汽集团
SH601238",SH601238,0.4096,0.0112,-0.0271,连续2个月推荐,4,汽车,中市值,国海证券,,,2020-12-01,A601238,0
176,176,2020年12月金股.xlsx,2020/12/1,"国瓷材料
SZ300285",SZ300285,0.7316,-0.0131,0.1909,连续2个月推荐,2,化工,中市值,民生证券,,,2020-12-01,A300285,0
179,179,2020年12月金股.xlsx,2020/12/1,"卫星石化
SZ002648",SZ002648,0.8456,-0.0144,0.0097,连续3个月推荐,2,化工,中市值,民生证券,,,2020-12-01,A002648,0
180,180,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,民生证券,,,2020-12-01,A601899,0
181,181,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,民生证券,,,2020-12-01,A601166,0
183,183,2020年12月金股.xlsx,2020/12/1,"海螺水泥
SH600585",SH600585,0.0621,-0.0097,-0.0864,连续13个月推荐,3,建筑材料,大市值,民生证券,,,2020-12-01,A600585,0
184,184,2020年12月金股.xlsx,2020/12/1,"文灿股份
SH603348",SH603348,0.548,0.1001,-0.1178,连续4个月推荐,3,汽车,小市值,民生证券,,,2020-12-01,A603348,0
185,185,2020年12月金股.xlsx,2020/12/1,"领益智造
SZ002600",SZ002600,0.1136,-0.0138,-0.1562,连续5个月推荐,4,电子,中市值,民生证券,,,2020-12-01,A002600,0
186,186,2020年12月金股.xlsx,2020/12/1,"泸州老窖
SZ000568",SZ000568,0.7759,-0.0047,0.2336,连续12个月推荐,6,食品饮料,大市值,东兴证券,,,2020-12-01,A000568,0
187,187,2020年12月金股.xlsx,2020/12/1,"东方电缆
SH603606",SH603606,0.3922,0.0172,0.1714,连续3个月推荐,1,电气设备,小市值,东兴证券,,,2020-12-01,A603606,0
188,188,2020年12月金股.xlsx,2020/12/1,"海容冷链
SH603187",SH603187,0.6798,-0.0279,0.1316,连续5个月推荐,1,机械设备,小市值,东兴证券,,,2020-12-01,A603187,0
190,190,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,东兴证券,,,2020-12-01,A601899,0
191,191,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,东兴证券,,,2020-12-01,A601601,0
192,192,2020年12月金股.xlsx,2020/12/1,"城发环境
SZ000885",SZ000885,0.3032,0.003,-0.0202,连续5个月推荐,1,交通运输,小市值,东兴证券,,,2020-12-01,A000885,0
193,193,2020年12月金股.xlsx,2020/12/1,"邮储银行
SH601658",SH601658,0.5528,0.0431,-0.086,连续2个月推荐,3,银行,中市值,东兴证券,,,2020-12-01,A601658,0
194,194,2020年12月金股.xlsx,2020/12/1,"濮耐股份
SZ002225",SZ002225,0.3594,-0.0091,-0.1076,连续3个月推荐,1,建筑材料,小市值,东兴证券,,,2020-12-01,A002225,0
195,195,2020年12月金股.xlsx,2020/12/1,"宁德时代
SZ300750",SZ300750,0.9409,0.0667,0.4461,连续13个月推荐,3,电气设备,大市值,国信证券,,,2020-12-01,A300750,0
196,196,2020年12月金股.xlsx,2020/12/1,"传音控股
科688036",科688036,0.4936,-0.074,0.104,连续4个月推荐,1,电子,小市值,国信证券,,,2020-12-01,A688036,0
197,197,2020年12月金股.xlsx,2020/12/1,"旗滨集团
SH601636",SH601636,0.937,-0.0062,0.1025,连续7个月推荐,2,建筑材料,中市值,国信证券,,,2020-12-01,A601636,0
198,198,2020年12月金股.xlsx,2020/12/1,"紫金矿业
SH601899",SH601899,0.641,0.0045,-0.0032,连续5个月推荐,9,有色金属,大市值,国信证券,,,2020-12-01,A601899,0
201,201,2020年12月金股.xlsx,2020/12/1,"中国平安
SH601318",SH601318,0.1705,0.001,-0.0339,连续5个月推荐,14,非银金融,大市值,国信证券,,,2020-12-01,A601318,0
202,202,2020年12月金股.xlsx,2020/12/1,"宁波银行
SZ002142",SZ002142,0.8972,-0.0086,-0.0423,连续2个月推荐,2,银行,大市值,国信证券,,,2020-12-01,A002142,0
205,205,2020年12月金股.xlsx,2020/12/1,"药明康德
SH603259",SH603259,0.7511,-0.0294,0.3038,连续2个月推荐,1,医药生物,大市值,中泰证券,,,2020-12-01,A603259,0
206,206,2020年12月金股.xlsx,2020/12/1,"上海沪工
SH603131",SH603131,0.0688,-0.0115,0.1076,连续5个月推荐,3,机械设备,小市值,中泰证券,,,2020-12-01,A603131,0
208,208,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,中泰证券,,,2020-12-01,A601601,0
209,209,2020年12月金股.xlsx,2020/12/1,"淮北矿业
SH600985",SH600985,0.726,0.0,-0.0124,连续2个月推荐,1,采掘,小市值,中泰证券,,,2020-12-01,A600985,0
214,214,2020年12月金股.xlsx,2020/12/1,"宏达电子
SZ300726",SZ300726,0.7844,-0.0008,0.5449,连续2个月推荐,2,电子,中市值,信达证券,,,2020-12-01,A300726,0
215,215,2020年12月金股.xlsx,2020/12/1,"杉杉股份
SH600884",SH600884,0.6857,0.0192,0.317,连续4个月推荐,1,电子,中市值,信达证券,,,2020-12-01,A600884,0
217,217,2020年12月金股.xlsx,2020/12/1,"桐昆股份
SH601233",SH601233,0.4747,-0.0384,0.0446,连续5个月推荐,5,化工,中市值,信达证券,,,2020-12-01,A601233,0
218,218,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,信达证券,,,2020-12-01,A601601,0
219,219,2020年12月金股.xlsx,2020/12/1,"川仪股份
SH603100",SH603100,0.966,-0.0111,-0.0918,连续2个月推荐,1,电气设备,小市值,信达证券,,,2020-12-01,A603100,0
224,224,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,长江证券,,,2020-12-01,A601166,0
225,225,2020年12月金股.xlsx,2020/12/1,"龙蟒佰利
SZ002601",SZ002601,0.4909,-0.0416,-0.0293,连续4个月推荐,3,化工,中市值,长江证券,,,2020-12-01,A002601,0
